Benefit Illustration for Linked Insurance Products - Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Proposal No. :,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name of Prospect/Policyholder:,,,,,XYZ,,,,Name of the Product:,,,,,SUD Life e-Wealth Royale,,,,,,,,,,,,,,,,,,,
Age: ,,,,,37,,,,Tag Line:,,,,,"Individual Unit - Linked 
Non-Participating Life Insurance Plan",,,,,,,,,,,,,,,,,,,
Name of Life Assured:,,,,,ABC,,,,Unique Identification  Number:,,,,,142L082V03,,,,,,,,,,,,,,,,,,,
Age: ,,,,,37,,,,GST Rate:,,,,,0%,,,,,,,,,,,,,,,,,,,
Sum Assured:,,,,,"2,40,000",,,,Investment Strategy opted for:,,,,,Self-Managed Investment Strategy,,,,,,,,,,,,,,,,,,,
Policy Term:,,,,,20,,,,Sr. No.,,Funds opted,,,Risk Profile,Proportion,,,,,,,,,,,,,,,,,,
Premium Payment Term:,,,,,10,,,,1,,"SUD Life Nifty  Alpha 50 Index Fund
SFIN:ULIF 041 26/07/25 SUD-LI-ALP 142",,,High,100%,,,,,,,,,,,,,,,,,,
Annualized Premium,,,,,"24,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mode of payment of premium:,,,,,Yearly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Option Choosen,,,,,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How to read and understand this benefit illustration?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This benefit illustration is intended to show what charges are deducted from your premiums and how the unit fund, net of charges and taxes, may grow over the years of the policy term if the fund earns a gross return of 8% p.a. or 4% p.a. These rates, i.e., 8% p.a. and 4% p.a. are assumed only for the purpose of illustrating the flow of benefits if the returns are at this level. It should not be interpreted that the returns under the plan are going to be either 8% p.a. or 4% p.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For minor lives with entry age less than 5 years, risk commencement date will start one day before the completion of two years from date of commencement of the policy or at the first monthly policy anniversary after attainment of age 5 years whichever is earlier.
For lives with age at entry 5 years and above, date of commencement of policy and date of commencement of risk shall be same. 
The policy will automatically vest in the life assured on attaining majority.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Yield mentioned corresponds to the gross investment return of 8% p.a., net of all charges but does not consider mortality, morbidity charges, underwriting extra, if any, guarantee charges and cost of riders, if deducted by cancellation of units. It demonstrates the impact of charges and taxes on the net yield. Please note that the mortality charges per thousand sum assured in general, increases with age.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The actual returns can vary depending on the performance of the chosen fund, charges towards mortality, morbidity, underwriting extra, cost of riders, etc. The investment risk in this policy is borne by the policyholder, hence, for more details on terms and conditions please read sales literature carefully.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part A of this statement presents a summary view of year-by-year charges deducted under the policy, fund value, surrender value and the death benefit, at two assumed rates of return. Part B of this statement presents a detailed break-up of the charges, and other values",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,(Amount in Rupees),,,,,,,,,,,,,,,,,,,
"Policy
Year",Annualized Premium,At 4% p.a. Gross Investment Return,,,,,,,At 8% p.a. Gross Investment Return,,,,,,,,,,,,,,,,,,,,,,,,
,,Mortality Charges,Additional Risk Benefit  Charges,Other Charges*,GST,Fund at the End of the year,"Surrender
Value","Death
Benefit ",Mortality Charges,Additional Risk Benefit Charges,Other Charges*,GST,Fund at the End of the year,"Surrender
Value","Death
Benefit ",,,,,,,,,,,,,,,,,,
1,"24,000",369,0,"1,515",0,"23,036","20,036","2,40,000",369,0,"1,522",0,"23,951","20,951","2,40,000",,,,,,,,,,,,,,,,,,
2,"24,000",353,0,"1,829",0,"46,690","44,690","2,40,000",350,0,"1,855",0,"49,492","47,492","2,40,000",,,,,,,,,,,,,,,,,,
3,"24,000",333,0,"2,152",0,"70,982","69,482","2,40,000",325,0,"2,211",0,"76,734","75,234","2,40,000",,,,,,,,,,,,,,,,,,
4,"24,000",307,0,"2,483",0,"95,936","94,936","2,40,000",291,0,"2,590",0,"1,05,799","1,04,799","2,40,000",,,,,,,,,,,,,,,,,,
5,"24,000",275,0,"2,823",0,"1,21,574","1,21,574","2,40,000",246,0,"2,994",0,"1,36,816","1,36,816","2,40,000",,,,,,,,,,,,,,,,,,
6,"24,000",234,0,"3,172",0,"1,48,071","1,48,071","2,40,000",188,0,"3,426",0,"1,70,094","1,70,094","2,40,000",,,,,,,,,,,,,,,,,,
7,"24,000",182,0,"3,534",0,"1,75,340","1,75,340","2,40,000",111,0,"3,889",0,"2,05,669","2,05,669","2,40,000",,,,,,,,,,,,,,,,,,
8,"24,000",117,0,"3,906",0,"2,03,415","2,03,415","2,40,000",13,0,"4,384",0,"2,43,716","2,43,716","2,43,716",,,,,,,,,,,,,,,,,,
9,"24,000",35,0,"4,289",0,"2,32,335","2,32,335","2,40,000",0,0,"4,914",0,"2,84,312","2,84,312","2,84,312",,,,,,,,,,,,,,,,,,
10,"24,000",0,0,"4,683",0,"2,81,415","2,81,415","2,81,415",0,0,"5,478",0,"3,48,537","3,48,537","3,48,537",,,,,,,,,,,,,,,,,,
11,0,0,0,"3,833",0,"2,88,769","2,88,769","2,88,769",0,0,"4,846",0,"3,71,401","3,71,401","3,71,401",,,,,,,,,,,,,,,,,,
12,0,0,0,"3,933",0,"2,96,315","2,96,315","2,96,315",0,0,"5,164",0,"3,95,764","3,95,764","3,95,764",,,,,,,,,,,,,,,,,,
13,0,0,0,"4,036",0,"3,04,058","3,04,058","3,04,058",0,0,"5,503",0,"4,21,726","4,21,726","4,21,726",,,,,,,,,,,,,,,,,,
14,0,0,0,"4,142",0,"3,12,003","3,12,003","3,12,003",0,0,"5,864",0,"4,49,390","4,49,390","4,49,390",,,,,,,,,,,,,,,,,,
15,0,0,0,"4,250",0,"3,29,528","3,29,528","3,29,528",0,0,"6,249",0,"4,92,396","4,92,396","4,92,396",,,,,,,,,,,,,,,,,,
16,0,0,0,"4,489",0,"3,38,139","3,38,139","3,38,139",0,0,"6,847",0,"5,24,696","5,24,696","5,24,696",,,,,,,,,,,,,,,,,,
17,0,0,0,"4,606",0,"3,46,975","3,46,975","3,46,975",0,0,"7,296",0,"5,59,115","5,59,115","5,59,115",,,,,,,,,,,,,,,,,,
18,0,0,0,"4,726",0,"3,56,042","3,56,042","3,56,042",0,0,"7,774",0,"5,95,792","5,95,792","5,95,792",,,,,,,,,,,,,,,,,,
19,0,0,0,"4,850",0,"3,65,346","3,65,346","3,65,346",0,0,"8,284",0,"6,34,875","6,34,875","6,34,875",,,,,,,,,,,,,,,,,,
20,0,0,0,"4,977",0,"3,88,072","3,88,072","3,88,072",0,0,"8,828",0,"6,97,525","6,97,525","6,97,525",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*See Part B for details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IN THIS POLICY, THE INVESTMENT RISK IS BORNE BY THE POLICYHOLDER AND THE ABOVE INTEREST RATES ARE ONLY FOR ILLUSTRATIVE PURPOSE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I…………………… (Name), have explained the premiums,charges and benefits under the policy fully to the prospect/policyholder.",,,,,,,,,,,,"I…………………… (Name), having received the information with respect to the above, have understood the above statement before entering into the contract.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Place:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,,Signature of Agent/Intermediary/Official of the Insurer:,,,,,,,,,,Date:,,Signature of Prospect/Policyholder :,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
